<oov> 1.0	oov
زوجین 1.0	Z O D_Z A_E1 N
منشیانہ 1.0	M U N S_H I J A_A N A_A
جگہ 1.0	D_Z A G A_A
ایجنسیوں 1.0	A_Y D_Z A N S I_I1 O_O_N
نوبت 1.0	N O B A T_D
سخت 1.0	S A X T_D
عارضی 1.0	A_A R Z I_I1
زودحس 1.0	Z U_U D_D H I S
موضع 1.0	M O Z A_A
کھاؤ 1.0	K_H A_A O_O
سال 1.0	S A_A L
پنچولی 1.0	P A N T_S1 O_O L I_I1
خوشہ 1.0	X O_O S_H A_A
غنا 1.0	G_G I N A_A
مسائل 1.0	M A S A_A I L
دین 1.0	D_D I_I1 N
بھجوا 1.0	B_H I D_Z V A_A
لاٹھی 1.0	L A_A T_H I_I1
ارتعاش 1.0	I R T_D I A_A S_H
دہلی 1.0	D_D A_Y_H H L I_I1
تھیٹر 1.0	T_D_H A_Y T A R
ہوئیں 1.0	H U_U I_I_N
جنرک 1.0	D_Z A N R I K
دیکھے 1.0	D_D A_Y K_H A_Y
اکثریت 1.0	A K S A R I_I1 J A T_D
جھنجھوڑ 1.0	D_Z_H A N D_Z_H O_O R_R
گانٹھ 1.0	G A_A N T_H
شیمپو 1.0	S_H A_E1 M P U_U
پراٹھے 1.0	P A R A_A T_H A_Y
دانشور 1.0	D_D A_A N I S_H V A R
چھابڑی 1.0	T_S_H A_A B R_R I_I1
جرم 1.0	D_Z U R M
انگلش 1.0	I N_G L I S_H
نشوونما 1.0	N A S_H V O_O N U M A_A
وفود 1.0	V U F U_U D_D
والا 1.0	V A_A L A_A
انگلی 1.0	U N_G L I_I1
زوجیت 1.0	Z O D_Z I_I1 J A T_D
مقصد 1.0	M A Q S A D_D
آشنا 1.0	A_A S_H N A_A
ویسے 1.0	V A_E1 S A_Y
دلخراش 1.0	D_D I L X A R A_A S_H
اجتماعات 1.0	I D_Z T_D I M A_A Y A_A T_D
بھڑک 1.0	B_H A R_R A K
خلق 1.0	X U L Q
موذی 1.0	M U_U Z I_I1
آمدورفت 1.0	A_A M D_D O_O R A F T_D
بلڈوزروں 1.0	B I L D O_O Z R O_O_N
آلوچہ 1.0	A_A L U_U T_S1 A_A
ہیروئین 1.0	H I_I1 R O_O I_I1 N
محظوظ 1.0	M A H Z U_U Z
داخل 1.0	D_D A_A X I L
گولڈ 1.0	G O_O L D
اجازت 1.0	I D_Z A_A Z A T_D
پوچھا 1.0	P U_U T_S_H A_A
لینے 1.0	L A_Y N A_Y
دیں 1.0	D_D A_Y_N
پیشگی 1.0	P A_Y S_H G I_I1
پھرتی 1.0	P_H U R T_D I_I1
تمغہ 1.0	T_D A M G_G A_A
کھڑا 1.0	K_H A R_R A_A
پرنٹ 1.0	P I R I N T
ہجو 1.0	H A D_Z V
نوچیں 1.0	N O_O T_S1 A_Y_N
سیلرز 1.0	S A_Y L A R Z
لون 1.0	L O_O N
والیم 1.0	V A_A L J A M
اجسام 1.0	A D_Z S A_A M
دائیں 1.0	D_D A_A A_Y_N
ہاں 1.0	H A_A_N
اقرار 1.0	I Q R A_A R
جمعہ 1.0	D_Z U M A_A
عاشور 1.0	A_A S_H U_U R
روئیداد 1.0	R U_U I_I1 D_D A_A D_D
ریزرو 1.0	R I_I1 Z A R V
بوائے 1.0	B U_U A_A A_Y
میرٹ 1.0	M A_E1 R I T
ریفرنڈم 1.0	R A_E1 F R A N D A M
بقول 1.0	B A Q O L
ڈوریں 1.0	D O_O R A_Y_N
سوم 1.0	S I V U M
آتشیں 1.0	A_A T_D I S_H I_I_N
اتھل 1.0	U T_D_H A L
کرائیں 1.0	K A R A_A I_I_N
شاہد 1.0	S_H A_A H I D_D
پوشیدہ 1.0	P O_O S_H I_I1 D_D A_A
ضعف 1.0	Z O_O F
ہلاک 1.0	H A L A_A K
پانچوں 1.0	P A_A N T_S1 O_O_N
گورے 1.0	G O_O R A_Y
تھیسس 1.0	T_D_H I_I1 S I S
سنگسار 1.0	S A N_G S A_A R
غیرنمایاں 1.0	G_G A_E1 R N U M A_A J A_A_N
ٹینک 1.0	T A_E1 N K
میسج 1.0	M A_E1 S I D_Z
موزوں 1.0	M O Z U_U_N
دیکھو 1.0	D_D A_Y K_H O_O
ایڈن 1.0	I_I1 D A N
ریلیف 1.0	R I_I1 L I_I1 F
بھال 1.0	B_H A_A L
افزائش 1.0	A F Z A_A I S_H
غافل 1.0	G_G A_A F I L
مونچھوں 1.0	M U_U N T_S_H O_O_N
شاعر 1.0	S_H A_A I R
نما 1.0	N A M A_A
مظفر 1.0	M U Z A F F A R
روات 1.0	R U V A_A T_D
تیسر 1.0	T_D A J A S S U R
ڈیبیٹ 1.0	D I_I1 B A_Y T
ساٹھویں 1.0	S A_A T_H V A_Y_N
تباہی 1.0	T_D A B A_A H I_I1
بھسم 1.0	B_H A S A M
کھایا 1.0	K_H A_A J A_A
نیشنل 1.0	N A_E1 S_H N A L
ہیجان 1.0	H A_E1 D_Z A_A N
زیست 1.0	Z I_I1 S T_D
سامعین 1.0	S A_A M A_Y I_I1 N
کیریو 1.0	K A_E1 R I_I1 O_O
مدعی 1.0	M U D_D D_D A I_I1
گولڑوی 1.0	G O_O L R_R A V I_I1
پتھری 1.0	P A T_D_H R I_I1
افواج 1.0	A F V A_A D_Z
تلخی 1.0	T_D A L X I_I1
برابر 1.0	B A R A_A B A R
ڈیلی 1.0	D A_Y L I_I1
دورے 1.0	D_D O R A_Y
فغاں 1.0	F U G_G A_A_N
ہرادھنیا 1.0	H A R A_A D_D_H A N J A_A
ماہرین 1.0	M A_A H I R I_I1 N
مرشد 1.0	M U R S_H I D_D
پہنچنے 1.0	P A H U N T_S1 N A_Y
پھبتی 1.0	P_H A B T_D I_I1
خیر 1.0	X A_E1 R
ایثار 1.0	I_I1 S A_A R
بوم 1.0	B U_U M
سوجھی 1.0	S U_U D_Z_H I_I1
ریمبو 1.0	R A_E1 M B O_O
وولٹیج 1.0	V O_O L T A_Y D_Z
پالمر 1.0	P A_A L M A R
اسٹورز 1.0	I S T O_O R Z
تہمت 1.0	T_D O_O_H H M A T_D
اکرم 1.0	A K R A M
ڈیف 1.0	D A_E1 F
مڑ 1.0	M U R_R
مہمان 1.0	M A_Y_H H M A_A N
مدعا 1.0	M U D_D D_D A A_A
فیوچر 1.0	F I J U_U T_S1 A R
کوارڈینیٹر 1.0	K O_O A D I_I1 N A_Y T A R
جانب 1.0	D_Z A_A N I B
لنگڑی 1.0	L A N_G R_R I_I1
براوو 1.0	B A R A_A V O_O
رینگتے 1.0	R I_I1 N_G T_D A_Y
دراڑیں 1.0	D_D A R A_A R_R A_Y_N
رسیدہ 1.0	R A S I_I1 D_D A_A
اڑتالیس 1.0	A R_R T_D A_A L I_I1 S
موہوم 1.0	M O H U_U M
منش 1.0	M A N U S_H
استفہامیہ 1.0	I S T_D I F H A_A M I J A_A
کولسری 1.0	K O_O L S A R I_I1
تو 1.0	T_D O_O
جارحیت 1.0	D_Z A_A R A_Y H I J J A T_D
بڈھا 1.0	B U D D_H A_A
کوئی 1.0	K O_O I_I1
کھوئی 1.0	K_H O_O I_I1
سگھڑ 1.0	S U G_H A R_R
مطبوعہ 1.0	M A T_D B U_U A_A
تصدق 1.0	T_D A S A D_D D_D U Q
ایلیمنٹری 1.0	A_E1 L I_I1 M A N T A R I_I1
پلیئر 1.0	P A L A_Y A R
بھیس 1.0	B_H A_Y S
رعشہ 1.0	R A A S_H A_A
اختر 1.0	A X T_D A R
اوورہیڈ 1.0	O_O V A R H A_E1 D
جنگجو 1.0	D_Z A N_G D_Z U_U
باشعور 1.0	B A_A S_H U Y U_U R
سالہ 1.0	S A_A L A_A
الجھاؤ 1.0	U L D_Z_H A_A O_O
ٹرانزیکشن 1.0	T A R A_A_N Z I_I1 K S_H A N
آر 1.0	A_A R
گلگشت 1.0	G U L G A S_H T_D
بچھانے 1.0	B I T_S_H A_A N A_Y
فاسفورس 1.0	F A_A S F O_O R A S
قدسی 1.0	Q U D_D S I_I1
واقفیت 1.0	V A_A Q I F I J A T_D
چھاپہ 1.0	T_S_H A_A P A_A
اسجد 1.0	A S D_Z A D_D
خلجی 1.0	X I L D_Z I_I1
بیخ 1.0	B A_Y X
شعوری 1.0	S_H U U_U R I_I1
انوالومنٹ 1.0	I N V A_A L V M A N T
فرماں 1.0	F A R M A_A_N
سزا 1.0	S A Z A_A
شغل 1.0	S_H A G_G L
صورتحال 1.0	S U_U R A T_D A_Y H A_A L
خواری 1.0	X O_O A_A R I_I1
درخشاں 1.0	D_D A R A X S_H A_A_N
فلور 1.0	F A L O_O R
ہیڈ 1.0	H A_E1 D
ادب 1.0	A D_D A B
بدروح 1.0	B A D_D R U_U
چاہے 1.0	T_S1 A_A H A_Y
ساجد 1.0	S A_A D_Z I D_D
لومڑی 1.0	L U_U M R_R I_I1
افادہ 1.0	I F A_A D_D A_A
دکھلا 1.0	D_D I K_H L A_A
روڈ 1.0	R O_O D
بوجوہ 1.0	B A V U D_Z U_U
ڈسٹرکٹ 1.0	D I S T I R I K T
بیٹھیں 1.0	B A_E1 T_H A_Y_N
بیچے 1.0	B A_Y T_S1 A_Y
چہرے 1.0	T_S1 A_Y_H H R A_Y
نوحہ 1.0	N O H A_A
مرجھا 1.0	M U R D_Z_H A_A
دھچکا 1.0	D_D_H A T_S1 K A_A
منور 1.0	M U N O V A R
ڈراپ 1.0	D I R A_A P
مودی 1.0	M O_O D_D I_I1
افسردہ 1.0	A F S U R D_D A_A
راجباہوں 1.0	R A_A D_Z B A_A H O_O_N
ینگ 1.0	J A N_G
سست 1.0	S U S T_D
چیخ 1.0	T_S1 I_I1 X
میٹھے 1.0	M I_I1 T_H A_Y
پنجند 1.0	P A N D_Z N A D_D
ساتھ 1.0	S A_A T_D_H
مفروضات 1.0	M A F R U_U Z A_A T_D
ڈیڑھ 1.0	D A_Y R_R_H
گھنگریالے 1.0	G_H U N_G R I J A_A L A_Y
قاری 1.0	Q A_A R I_I1
جتنی 1.0	D_Z A T_D N I_I1
اپھارہ 1.0	A P_H A_A R A_A
گورنینس 1.0	G U V A R N A_E1 N S
آغا 1.0	A_A G_G A_A
ضوفشاں 1.0	Z O F A S_H A_A_N
پڑھوا 1.0	P A R_R_H V A_A
اولاد 1.0	O L A_A D_D A
ورلڈ 1.0	V A R D
گو 1.0	G O_O
پونچھ 1.0	P O_O N T_S_H
پھیل 1.0	P_H A_E1 L
برطرفی 1.0	B A R T_D A R F I_I1
وزارت 1.0	V I Z A_A R A T_D
میزیں 1.0	M A_Y Z A_Y_N
پیش 1.0	P A_Y S_H
برطانوی 1.0	B A R T_D A_A N V I_I1
استعفے 1.0	I S T_D I F A_Y
خدشے 1.0	X A D_D S_H A_Y
نعمتوں 1.0	N A_Y M A T_D O_O_N
نیچی 1.0	N I_I1 T_S1 I_I1
سوجن 1.0	S U_U D_Z A N
نہیں 1.0	N A H I_I_N
حریت 1.0	H U R R I_I1 J A T_D
ڈول 1.0	D O_O L
کاغذ 1.0	K A_A G_G A Z
کوش 1.0	K O_O S_H
سرعام 1.0	S A R A_Y A_A M
اونس 1.0	O N S
ہندوؤں 1.0	H I N D_D U_U O_O_N
کھمبے 1.0	K_H A M B A_Y
نیا 1.0	N A_Y J A_A
ہذیانی 1.0	H A Z J A_A N I_I1
فوج 1.0	F O D_Z
لگاؤ 1.0	L A G A_A O_O
بانسری 1.0	B A_A N S R I_I1
بھورے 1.0	B_H O_O R A_Y
میاں 1.0	M I J A_A_N
کھولیں 1.0	K_H O_O L A_Y_N
اوڑھ 1.0	O_O R_R_H
رندھاوا 1.0	R A N D_D_H A_A V A_A
تصفیے 1.0	T_D A S F I_I1 A_Y
جلسہ 1.0	D_Z A L S A_A
یونی 1.0	J A V A N I_I1
ابڑو 1.0	A B R_R U_U
مونگ 1.0	M U_U N_G
چولی 1.0	T_S1 O_O L I_I1
سوچا 1.0	S O_O T_S1 A_A
گدھی 1.0	G A D_D_H I_I1
ٹھٹھر 1.0	T_H I T_H A R
شعار 1.0	S_H I A_A R
گھاس 1.0	G_H A_A S
کوچنگ 1.0	K O_O T_S1 I N_G
منعقد 1.0	M U N A Q I D_D
خواص 1.0	X V A_A S
معاملات 1.0	M U A_A M A L A_A T_D
ادھار 1.0	U D_D_H A_A R
طفیل 1.0	T_D U F A_E1 L
جوبلی 1.0	D_Z U_U B L I_I1
لگائی 1.0	L A G A_A I_I1
دھائی 1.0	D_D_H A_A I_I1
سلطان 1.0	S U L T_D A_A N
مسترد 1.0	M U S T_D A R A D_D
صلاحیتیں 1.0	S A L A_A H I J A T_D A_Y_N
قائم 1.0	Q A_A I M
دولخت 1.0	D_D O_O L A X T_D
بدلیں 1.0	B A D_D L A_Y_N
محفل 1.0	M A H F I L
حمل 1.0	H A M L
شجر 1.0	S_H A D_Z A R
قرارداد 1.0	Q A R A_A R D_D A_A D_D
استھان 1.0	A S T_D_H A_A N
صفیں 1.0	S A F A_Y_N
گزشتہ 1.0	G U Z A S_H T_D A_A
بولنگ 1.0	B O_O L I N_G
اضلاع 1.0	I Z L A_A
فرمائیں 1.0	F A R M A_A A_Y_N
جاؤ 1.0	D_Z A_A O_O
گارلینڈ 1.0	G A_A R L A_E1 N D
ہما 1.0	H U M A_A
بڑھانے 1.0	B A R_R_H A_A N A_Y
موزونیت 1.0	M O Z U_U N I_I1 J A T_D
کہلوا 1.0	K A H A L V A_A
پڑھنے 1.0	P A R_R_H N A_Y
نعمت 1.0	N I M A T_D
ایڈڈ 1.0	A_E1 D I D
بوریت 1.0	B O_O R J A T_D
نیل 1.0	N A_Y L
بویا 1.0	B O_O J A_A
ترمذی 1.0	T_D I R M I Z I_I1
تعلیم 1.0	T_D A_A L I_I1 M
خوارزمی 1.0	X U V A_A R Z A M I_I1
روٹھ 1.0	R U_U T_H
مینڈھا 1.0	M A_E1 N D_H A_A
موسلادھار 1.0	M U_U S L A_A D_D_H A_A R
معرفت 1.0	M A_A R F A T_D
ابھرا 1.0	U B_H R A_A
عروج 1.0	U R U_U D_Z
پڑھے 1.0	P A R_R_H A_Y
ٹھیک 1.0	T_H I_I1 K
دیوار 1.0	D_D I_I1 V A_A R
تحفتا 1.0	T_D U H F A T_D A N
دیو 1.0	D_D A_E1 O_O
گونج 1.0	G U_U N D_Z
ہمراہ 1.0	H A M R A_A
پیریڈ 1.0	P I_I1 R J A D
شروعات 1.0	S_H U R U_U A_A T_D
دلوں 1.0	D_D I L O_O_N
پیچھا 1.0	P I_I1 T_S_H A_A
چاق 1.0	T_S1 A_A Q
فضل 1.0	F A Z L
ناخن 1.0	N A_A X U N
جاگزیں 1.0	D_Z A_A G U Z I_I_N
بہائیں 1.0	B A H A_A A_Y_N
علیحدہ 1.0	A L A_E1 H I D_D A_A
چاچڑ 1.0	T_S1 A_A T_S1 A R_R
سمجھوتہ 1.0	S A M D_Z_H O_O T_D A_A
سرمایے 1.0	S A R M A_A J A_Y
دشوار 1.0	D_D U S_H V A_A R
سیونگ 1.0	S A_Y V I N_G
حنیف 1.0	H A N I_I1 F
کھیل 1.0	K_H A_Y L
ریلیکس 1.0	R I_I1 L A_E1 K S
ہونا 1.0	H O_O N A_A
پانچ 1.0	P A_A N T_S1
رئیل 1.0	R I_I1 A L
مندوبین 1.0	M A N D_D U_U B I_I1 N
اشعار 1.0	A S_H A_A R
اچک 1.0	U T_S1 A K
ڈھب 1.0	D_H A B
ساعت 1.0	S A_A A T_D
پھیلاؤ 1.0	P_H A_E1 L A_A O_O
مدافعت 1.0	M U D_D A_A F I A T_D
مشقت 1.0	M A S_H A Q Q A T_D
چہارم 1.0	T_S1 A H A_A R U M
شیڈول 1.0	S_H A_E1 D U_U L
تسلسل 1.0	T_D A S A L S U L
کمیشن 1.0	K A M I_I1 S_H A N
والی 1.0	V A_A L I_I1
منظم 1.0	M U N A Z Z A M
خدمات 1.0	X I D_D M A_A T_D
ہاؤسز 1.0	H A_A U S I Z
اسسٹنٹ 1.0	A S I S T A N T
بیضوی 1.0	B A_E1 Z V I_I1
ڈائیگرام 1.0	D A_A I_I1 G A R A_A M
سینئر 1.0	S I_I1 N I A R
بجھوا 1.0	B U D_Z_H V A_A
مواصلات 1.0	M U V A_A S A L A_A T_D
پیشکشیں 1.0	P A_Y S_H K A S_H A_Y_N
دخل 1.0	D_D A X L
امور 1.0	U M U_U R
ریجنل 1.0	R I_I1 D_Z N A L
اغیار 1.0	A G_G J A_A R
شکار 1.0	S_H I K A_A R
سوزوکی 1.0	S U_U Z U_U K I_I1
گھوسٹ 1.0	G_H O_O S T
لائحہ 1.0	L A_A I H A_A
دونوں 1.0	D_D O_O N O_O_N
چاشنی 1.0	T_S1 A_A S_H N I_I1
شیئرنگ 1.0	S_H A_Y I R I N_G
گدھوں 1.0	G A D_D_H O_O_N
جھڑپ 1.0	D_Z_H A R_R A P
سولنگ 1.0	S O L I N_G
حامد 1.0	H A_A M I D_D
ادارے 1.0	I D_D A_A R A_Y
گزرے 1.0	G U Z R A_Y
چیف 1.0	T_S1 I_I1 F
غزلیات 1.0	G_G A Z L I J A_A T_D
مچھلیاں 1.0	M A T_S_H L I J A_A_N
کھوکھلا 1.0	K_H O_O K_H L A_A
لاگت 1.0	L A_A G A T_D
کھیلنی 1.0	K_H A_E1 L N I_I1
شاخیں 1.0	S_H A_A X A_Y_N
نوخیز 1.0	N O X A_Y Z
ٹورازم 1.0	T U_U A I_I_N R I Z M
ہتھیلی 1.0	H A T_D_H A_Y L I_I1
ٹیکنیشنز 1.0	T A_E1 K N I_I1 S_H A N Z
وزیرخارجہ 1.0	V A Z I_I1 R A_Y X A_A R I D_Z A_A
دوگنا 1.0	D_D U G N A_A
ہینڈ 1.0	H A_E1 N D
آقا 1.0	A_A Q A_A
پرخچے 1.0	P A R A X T_S1 A_Y
مغلوب 1.0	M A G_G L U_U B
اغوا 1.0	I G_G V A_A
جائزہ 1.0	D_Z A_A I Z A_A
دھونے 1.0	D_D_H O_O N A_Y
بش 1.0	B U S_H
الجھن 1.0	U L D_Z_H A N
کھا 1.0	K_H A_A
اخلاقی 1.0	A X L A_A Q I_I1
نوزل 1.0	N O_O Z A L
بعد 1.0	B A_A D_D
جسم 1.0	D_Z I S M
ازدواجی 1.0	I Z D_D I V A_A D_Z I_I1
کوٹھڑی 1.0	K O_O T_H R_R I_I1
پڑاؤ 1.0	P A R_R A_A O_O
جھنڈ 1.0	D_Z_H U N D
اسلوب 1.0	U S L U_U B
جچیں 1.0	D_Z A T_S1 A_Y_N
پٹھان 1.0	P A T_H A_A N
روزبروز 1.0	R O_O Z B A R O_O Z
گڑیا 1.0	G U R_R J A_A
دوران 1.0	D_D O R A_A N
باڈی 1.0	B A_A D I_I1
حسن 1.0	H A S A N
انجام 1.0	A N D_Z A_A M
بی 1.0	B I_I1
قادری 1.0	Q A_A D_D I R I_I1
ریٹائرمنٹ 1.0	R I_I1 T A_A A_Y R M A_Y N T
بوڑھی 1.0	B U_U R_R_H I_I1
معجزات 1.0	M O_O D_Z I Z A_A T_D
حبس 1.0	H A B S
سوجھ 1.0	S U_U D_Z_H
تعوذ 1.0	T_D A A V V U Z
گجراتی 1.0	G U D_Z R A_A T_D I_I1
مشن 1.0	M I S_H A N
رسول 1.0	R A S U_U L
کوٹھیاں 1.0	K O_O T_H I J A_A_N
کچرے 1.0	K A T_S1 R A_Y
حقوق 1.0	H U Q U_U Q
داستان 1.0	D_D A_A S T_D A_A N
انار 1.0	A N A_A R
آغوش 1.0	A_A G_G O_O S_H
نکھر 1.0	N I K_H A R
ریاست 1.0	R I_I1 A_A S A T_D
موسمیات 1.0	M O_O S M I_I1 A_A T_D
کہکشاؤں 1.0	K A H K A S_H A_A O_O_N
بھینگا 1.0	B_H A_E1 N_G G A_A
شیر 1.0	S_H A_Y R
لوہے 1.0	L O_O H A_Y
شعبہ 1.0	S_H O_O B A_A
مچھلی 1.0	M A T_S_H L I_I1
روشنی 1.0	R O_O S_H N I_I1
ہینگ 1.0	H A_Y N_G
نوشیرواں 1.0	N O_O S_H A_Y R V A_A_N
سیف 1.0	S A_Y F
اسکواڈ 1.0	I S K U V A_A D
پیچیدہ 1.0	P A_Y T_S1 I_I1 D_D A_A
بداخلاقی 1.0	B A D_D I X L A_A Q I_I1
حیثیت 1.0	H A_E1 S I J A T_D
مارے 1.0	M A_A R A_Y
خاتمے 1.0	X A_A T_D I M A_Y
چڑچڑا 1.0	T_S1 I R_R T_S1 I R_R A_A
بلاخوف 1.0	B I L A_A X O F
سمجھدار 1.0	S A M A D_Z_H D_D A_A R
ماؤنٹ 1.0	M A_A U_U N T
سکتیں 1.0	S A K T_D I_I_N
شعائر 1.0	S_H I A_A I R
چینی 1.0	T_S1 I_I1 N I_I1
پچز 1.0	P I T_S1 I Z
بحران 1.0	B U H R A_A N
بااصول 1.0	B A_A U S U_U L
گیلری 1.0	G A_E1 L R I_I1
جاتا 1.0	D_Z A_A T_D A_A
گناہوں 1.0	G U N A_A H O_O_N
اقتصادی 1.0	I Q T_D I S A_A D_D I_I1
بنگلہ 1.0	B A N_G L A_A
جاگیرداروں 1.0	D_Z A_A G I_I1 R D_D A_A R O_O_N
لڑکھڑا 1.0	L A R_R K_H A R_R A_A
تغلق 1.0	T_D U G_G L A Q
بھگو 1.0	B_H I G O_O
مفاد 1.0	M U F A_A D_D
اوقات 1.0	O Q A_A T_D
سوری 1.0	S O R I_I1
دوڑ 1.0	D_D O R_R
درست 1.0	D_D U R U S T_D
جنگجویانہ 1.0	D_Z A N_G D_Z U_U J A_A N A_A
بیچلر 1.0	B A_E1 T_S1 A L A R
ماچھی 1.0	M A_A T_S_H I_I1
گاجر 1.0	G A_A D_Z A R
گیہوں 1.0	G A_Y H U_U_N
و 1.0	O_O
عاشق 1.0	A_A S_H I Q
نہائیں 1.0	N A H A_A A_Y_N
فحش 1.0	F U H S_H
انتہائی 1.0	I_I1 N T_D A_E_H H A_A I_I1
غذائی 1.0	G_G I Z A_A I_I1
آبشار 1.0	A_A B S_H A_A R
چیر 1.0	T_S1 I_I1 R
بچار 1.0	B I T_S1 A_A R
لگائے 1.0	L A G A_A A_Y
گھلیں 1.0	G_H U L A_Y_N
موشن 1.0	M O_O S_H A N
آشوب 1.0	A_A S_H O_O B
مکوڑوں 1.0	M A K V R_R O_O_N
وجود 1.0	V U D_Z U_U D_D
دیسی 1.0	D_D A_Y S I_I1
وافر 1.0	V A_A F I R
بیجوں 1.0	B I_I1 D_Z O_O_N
گاؤ 1.0	G A_A O_O
بورڈر 1.0	B O R D A R
جوگی 1.0	D_Z O_O G I_I1
بجھائی 1.0	B U D_Z_H A_A I_I1
عزت 1.0	I Z Z A T_D
معید 1.0	M U I_I1 D_D
جوش 1.0	D_Z O_O S_H
جواب 1.0	D_Z A V A_A B
خیلوی 1.0	X A_Y L V I_I1
بھاوج 1.0	B_H A_A V A D_Z
تجارت 1.0	T_D I D_Z A_A R A T_D
سیدہ 1.0	S A J J A D_D A_A
سوئیں 1.0	S O_O A_Y_N
سوڈا 1.0	S O_O D A_A
باغبانی 1.0	B A_A G_G B A_A N I_I1
جیل 1.0	D_Z A_Y L
خوفوں 1.0	X O F O_O_N
کیسوں 1.0	K A_Y S O_O_N
بیضے 1.0	B A_E1 Z A_Y
توصیف 1.0	T_D O S I_I1 F
اعزاز 1.0	A_Y Z A_A Z
گھور 1.0	G_H O_O R
صفحے 1.0	S A F H A_Y
عرف 1.0	U R F
ریڈ 1.0	R A_Y D
نرخ 1.0	N I R X
فضول 1.0	F U Z U_U L
احساس 1.0	A_Y H S A_A S
امراض 1.0	A M R A_A Z
نیچرل 1.0	N A_Y T_S1 R A L
گاڑی 1.0	G A_A R_R I_I1
جعفری 1.0	D_Z A_A F R I_I1
مداخلت 1.0	M U D_D A_A X L A T_D
کمزور 1.0	K A M Z O_O R
درجوں 1.0	D_D A R D_Z O_O_N
وہاں 1.0	V A H A_A_N
تندہی 1.0	T_D A N D_D I H I_I1
بھیڑیں 1.0	B_H A_Y R_R A_Y_N
تقدیر 1.0	T_D A Q D_D I_I1 R
بھیڑ 1.0	B_H A_Y R_R
ٹھاٹھیں 1.0	T_H A_A T_H A_Y_N
گھول 1.0	G_H O_O L
بخدمت 1.0	B A X I D_D M A T_D
خوشی 1.0	X U S_H I_I1
آئیے 1.0	A_A I_I1 J A_Y
متغیر 1.0	M U T_D A G_G A J J A R
اورنگ 1.0	O_O R A N_G
لباس 1.0	L I B A_A S
تصدیق 1.0	T_D A S D_D I_I1 Q
آدھ 1.0	A_A D_D_H
پہنچتے 1.0	P A H U N T_S1 A T_D A_Y
سادھو 1.0	S A_A D_D_H U_U
لڑائی 1.0	L A R_R A_A I_I1
پریشان 1.0	P A R A_Y S_H A_A N
تنظیم 1.0	T_D A N Z I_I1 M
موروثی 1.0	M O R U_U S I_I1
بحیثیت 1.0	B A H A_E1 S I J J A T_D
گئی 1.0	G A I_I1
قلزم 1.0	Q U L Z U M
قدروں 1.0	Q A D_D R O_O_N
وڈیو 1.0	V I D I_I1 O_O
یخنی 1.0	J A X N I_I1
بگٹی 1.0	B U G T I_I1
عید 1.0	I_I1 D_D
اسلم 1.0	I S L A M
ناغہ 1.0	N A_A G_G A_A
کمیٹی 1.0	K A M A_Y T I_I1
تعلقوں 1.0	T_D A A L L Q O_O_N
بےہودہ 1.0	B A_Y H U_U D_D A_A
یانگ 1.0	J A_A N_G
اپوزیشن 1.0	A P O_O Z I_I1 S_H A N
نگران 1.0	N I G R A_A N
پروگرام 1.0	P A R O_O G A R A_A M
صحتمند 1.0	S I H H A T_D M A N D_D
نشیب 1.0	N I S_H A_Y B
خودرو 1.0	X U D_D R O
کئے 1.0	K I A_Y
پھینٹیں 1.0	P_H A_Y N T A_Y_N
گیس 1.0	G A_E1 S
خاقان 1.0	X A_A Q A_A N
مغربی 1.0	M A G_G R I B I_I1
فائربریگیڈ 1.0	F A_A I R B A R I_I1 G A_Y D
جیسی 1.0	D_Z A_E1 S I_I1
برسنے 1.0	B A R S N A_Y
دیا 1.0	D_D I_I1 A_A
معطل 1.0	M U A T_D T_D A L
بلڈنگ 1.0	B I L D I N_G
عقاب 1.0	U Q A_A B
مشغلہ 1.0	M A S_H G_G A L A_A
بخود 1.0	B A X U D_D
جشن 1.0	D_Z A S_H N
فائر 1.0	F A_A I R
ہجرت 1.0	H I D_Z R A T_D
لاشیں 1.0	L A_A S_H A_Y_N
دوغلی 1.0	D_D O_O G_G L I_I1
مزارعین 1.0	M U Z A_A R I I_I1 N
منسوخ 1.0	M A N S U_U X
کھیلے 1.0	K_H A_Y L A_Y
مذاق 1.0	M A Z A_A Q
کنگڈم 1.0	K I N_G D A M
دوردراز 1.0	D_D U_U R D_D A R A_A Z
فعال 1.0	F A A_A L
گھل 1.0	G_H U L
ایچ 1.0	A_Y T_S1
وقفہ 1.0	V A Q F A_A
وقف 1.0	V A Q F
بقیہ 1.0	B A Q I_I1 J A_A
نصیب 1.0	N A S I_I1 B
کم 1.0	K A M
چلغوزے 1.0	T_S1 I L G_G O_O Z A_Y
جھگی 1.0	D_Z_H U G G I_I1
خم 1.0	X A M
دوزخ 1.0	D_D O_O Z A X
میری 1.0	M A_Y R I_I1
قیدیوں 1.0	Q A_E1 D_D I_I1 O_O_N
مشقیں 1.0	M A S_H Q A_Y_N
ایمبیسی 1.0	A_E1 M B A_E1 S I_I1
پیشکش 1.0	P A_Y S_H K A S_H
بدلو 1.0	B A D_D L O_O
شہرت 1.0	S_H U H R A T_D
سٹرلنگ 1.0	S A T A R L I N_G
بیڈروم 1.0	B A_E1 D R U_U M
رزاق 1.0	R A Z Z A_A Q
ماخوذ 1.0	M A_A X U_U Z
فیسوں 1.0	F I_I1 S O_O_N
کریو 1.0	K A R J U_U
پگھلی 1.0	P I G_H L I_I1
